#Vazao01	Vazao02	Vazao03	Vazao04	Vazao05	Vazao06	Vazao07	Vazao08	Vazao09	Vazao10	Vazao11	Vazao12	Vazao13	Vazao14	Vazao15	Vazao16	Vazao17	Vazao18	Vazao19	Vazao20	Vazao21	Vazao22	Vazao23	Vazao24	Vazao25	Vazao26	Vazao27	Vazao28	Vazao29	Vazao30	Vazao31	#dias	mes	Ano
734.582	637.404	558.759	505.103	470.724	440.195	406.851	387.092	367.589	355.531	362.753	409.338	68.018	673.516	637.404	525.672	48.206	549.643	571.021	558.759	51.681	470.724	459.514	48.206	510.941	499.296	445.675	406.851	382.192	362.753	338.825	31	5	2014
602.212	571.021	52.271	462.305	431.898	409.338	367.589	329.372	312.996	303.735	322.328	437.466	41.183	416.824	419.327	41.183	409.338	39.694	379.748	382.192	499.296	546.619	583.405	608.542	653.705	690.234	68.018	653.705	614.902	637.404	608.542	31	1	2014
198.542	192.361	170.136	172.128	208.953	225.889	198.542	186.231	172.128	188.269	260.744	289.979	343.577	401.888	338.825	377.308	406.851	329.372	310.674	29.226	260.744	280.899	296.837	269.654	243.156	225.889	221.623	269.654	322.328	324.672	0	31	11	2013
64.682	61.597	5.855	5.855	55.544	55.544	66.239	92.369	129.749	118.742	85.631	74.164	70.967	66.239	61.597	5.855	66.239	64.682	75.776	83.967	115.129	137.223	133.472	122.383	118.742	109.764	106.224	106.224	10.799	10.799	156.365	31	10	2013
72.561	74.164	70.967	70.967	70.967	77.397	94.073	10.097	10.097	99.234	90.672	83.967	77.397	70.967	67.806	64.682	64.682	64.682	64.682	66.239	69.382	74.164	74.164	70.967	67.806	64.682	64.682	63.134	64.682	64.682	0	31	9	2013
127.897	118.742	115.129	10.799	104.465	104.465	10.097	97.506	97.506	94.073	94.073	90.672	94.073	10.097	102.714	10.097	97.506	94.073	92.369	87.303	83.967	80.665	80.665	80.665	77.397	74.164	74.164	70.967	70.967	70.967	70.967	31	8	2013
204.772	217.379	221.623	217.379	211.051	194.416	184.199	174.125	170.136	168.151	164.198	160.269	156.365	152.486	148.632	148.632	144.803	14.1	139.108	137.223	133.472	129.749	129.749	126.052	126.052	127.897	133.472	14.1	144.803	148.632	137.223	31	7	2013
370.012	360.342	348.346	362.753	37.244	426.858	459.514	451.187	431.898	392.008	348.346	324.672	303.735	287.702	278.641	283.162	306.044	382.192	353.132	317.653	296.837	278.641	260.744	247.524	234.482	225.889	221.623	213.155	208.953	204.772	0	31	6	2013
247.524	262.964	274.138	278.641	26.519	256.318	234.482	234.482	228.029	230.175	238.809	310.674	437.466	700.355	577.198	580.298	614.902	801.683	780.201	713.955	720.801	727.676	670.195	660.278	686.875	812.525	673.516	558.759	561.813	608.542	614.902	31	1	2013
33.409	33.409	341.199	37.244	355.531	310.674	319.988	406.851	379.748	406.851	377.308	350.737	348.346	406.851	387.092	367.589	362.753	348.346	319.988	271.894	247.524	223.753	208.953	192.361	180.152	180.152	168.151	158.314	168.151	217.379	234.482	31	12	2012
